AVG_PRICE,MAX_PRICE,MIN_PRICE,SWAP_COUNT,BLOCK_NUMBER,PRICE_STDDEV,BLOCK_TIMESTAMP,VOLATILITY_FLAG,TOTAL_VOLUME_USD
86908.57556,86908.57556,86908.57556,1,24081688,,2025-12-24T09:49:35.000Z,NORMAL,1593.17
86908.94222,86908.98542,86908.89901,2,24081687,0.061111281,2025-12-24T09:49:23.000Z,NORMAL,32021.6
86909.34044,86909.34044,86909.34044,1,24081686,,2025-12-24T09:49:11.000Z,NORMAL,324.66
86907.5348,86907.5348,86907.5348,1,24081685,,2025-12-24T09:48:59.000Z,NORMAL,159.45
86908.90218,86908.96852,86908.83583,2,24081684,0.093821181,2025-12-24T09:48:47.000Z,NORMAL,27845.29
86907.83496,86910.27819,86906.61335,3,24081683,2.115896434,2025-12-24T09:48:35.000Z,NORMAL,303.35
86908.91098,86909.11587,86908.70609,2,24081682,0.289767668,2025-12-24T09:48:23.000Z,NORMAL,4974.01
86909.19067,86909.19067,86909.19067,1,24081680,,2025-12-24T09:47:59.000Z,NORMAL,2396.86
86909.10665,86909.79573,86908.30802,4,24081675,0.616616544,2025-12-24T09:46:59.000Z,NORMAL,10804.15
86909.30882,86909.30882,86909.30882,1,24081674,,2025-12-24T09:46:47.000Z,NORMAL,2588.9
86909.5557,86909.5557,86909.5557,1,24081664,,2025-12-24T09:44:47.000Z,NORMAL,306.83
86909.01057,86909.01057,86909.01057,1,24081660,,2025-12-24T09:43:59.000Z,NORMAL,2615.28
86909.09632,86909.17862,86909.01402,2,24081659,0.116387242,2025-12-24T09:43:47.000Z,NORMAL,64342.86
86908.99897,86908.99897,86908.99897,1,24081657,,2025-12-24T09:43:23.000Z,NORMAL,437946.15
86909.00444,86909.07294,86908.94882,5,24081640,0.045133672,2025-12-24T09:39:59.000Z,NORMAL,257671.27
86916.9389,86916.9389,86916.9389,1,24081639,,2025-12-24T09:39:47.000Z,NORMAL,64.79
86908.53681,86908.53681,86908.53681,1,24081635,,2025-12-24T09:38:59.000Z,NORMAL,1876.52
87035.35811,87035.35811,87035.35811,1,24081631,,2025-12-24T09:38:11.000Z,NORMAL,3.84
86922.86254,86922.86254,86922.86254,1,24081630,,2025-12-24T09:37:59.000Z,NORMAL,56.19
86908.49233,86908.49233,86908.49233,1,24081628,,2025-12-24T09:37:35.000Z,NORMAL,1514
86909.01913,86909.05804,86908.96733,4,24081627,0.038306486,2025-12-24T09:37:23.000Z,NORMAL,58584.28
86909.14712,86909.14712,86909.14712,1,24081626,,2025-12-24T09:37:11.000Z,NORMAL,4534.27
86909.23439,86909.38907,86909.07971,2,24081624,0.218758719,2025-12-24T09:36:47.000Z,NORMAL,11277.2
86909.06309,86909.10699,86909.0192,2,24081623,0.062086646,2025-12-24T09:36:35.000Z,NORMAL,38349.37
86909.0048,86909.0048,86909.0048,1,24081621,,2025-12-24T09:36:11.000Z,NORMAL,107730.6
86908.93737,86908.93737,86908.93737,1,24081619,,2025-12-24T09:35:47.000Z,NORMAL,11017.87
86839.53033,86839.53033,86839.53033,1,24081617,,2025-12-24T09:35:23.000Z,NORMAL,7.09
86937.4121,86937.4121,86937.4121,1,24081615,,2025-12-24T09:34:59.000Z,NORMAL,19.75
86907.09757,86907.09757,86907.09757,1,24081612,,2025-12-24T09:34:23.000Z,NORMAL,411.06
86908.98633,86908.98633,86908.98633,1,24081607,,2025-12-24T09:33:23.000Z,NORMAL,8777.36
86908.61801,86908.61801,86908.61801,1,24081605,,2025-12-24T09:32:59.000Z,NORMAL,1156.46
86892.10389,86892.10389,86892.10389,1,24081604,,2025-12-24T09:32:47.000Z,NORMAL,19.96
86909.03173,86909.03173,86909.03173,1,24081600,,2025-12-24T09:31:59.000Z,NORMAL,17776.44
86909.05295,86909.05295,86909.05295,1,24081599,,2025-12-24T09:31:47.000Z,NORMAL,9915.68
86909.13761,86909.13761,86909.13761,1,24081598,,2025-12-24T09:31:35.000Z,NORMAL,5106.29
86908.65079,86908.65079,86908.65079,1,24081597,,2025-12-24T09:31:23.000Z,NORMAL,1289.25
86908.98852,86909.00687,86908.97018,2,24081595,0.025947911,2025-12-24T09:30:59.000Z,NORMAL,30442.19
86979.83182,87050.67129,86908.99236,2,24081586,100.1821326,2025-12-24T09:29:11.000Z,NORMAL,26992.7
86909.03774,86909.03774,86909.03774,1,24081585,,2025-12-24T09:28:59.000Z,NORMAL,11264.98
86908.84769,86908.84769,86908.84769,1,24081584,,2025-12-24T09:28:47.000Z,NORMAL,1940.05
86909.3183,86910.17145,86908.9176,4,24081575,0.583082236,2025-12-24T09:26:59.000Z,NORMAL,32103.64
86909.03002,86909.03002,86909.03002,1,24081574,,2025-12-24T09:26:47.000Z,NORMAL,22154.66
86909.03877,86909.03877,86909.03877,1,24081573,,2025-12-24T09:26:35.000Z,NORMAL,10613.96
86909.07432,86909.07432,86909.07432,1,24081568,,2025-12-24T09:25:35.000Z,NORMAL,3392.9
86908.99892,86908.99892,86908.99892,1,24081567,,2025-12-24T09:25:23.000Z,NORMAL,18588.74
86867.93851,86867.93851,86867.93851,2,24081566,0,2025-12-24T09:25:11.000Z,NORMAL,18.75
86916.53974,86925.68366,86909.00174,6,24081565,7.55605315,2025-12-24T09:24:59.000Z,NORMAL,11923.79
86923.07692,86923.07692,86923.07692,1,24081563,,2025-12-24T09:24:35.000Z,NORMAL,9.04
86908.8885,86908.8885,86908.8885,1,24081552,,2025-12-24T09:22:23.000Z,NORMAL,1960.7
86812.14421,86812.14421,86812.14421,1,24081548,,2025-12-24T09:21:35.000Z,NORMAL,7.33
86964.06874,86964.06874,86964.06874,1,24081546,,2025-12-24T09:21:11.000Z,NORMAL,10.02
86891.60944,86891.60944,86891.60944,1,24081544,,2025-12-24T09:20:35.000Z,NORMAL,5.82
86884.96188,86884.96188,86884.96188,1,24081543,,2025-12-24T09:20:23.000Z,NORMAL,20.07
86562.74318,86920.65626,85858.58586,3,24081542,609.8460401,2025-12-24T09:20:11.000Z,HIGH_VOLATILITY,34614.41
86908.93622,86909.02105,86908.85138,2,24081539,0.119978165,2025-12-24T09:19:35.000Z,NORMAL,29753.8
86906.80389,86906.80389,86906.80389,2,24081533,0,2025-12-24T09:18:23.000Z,NORMAL,170.38
86908.95384,86908.95384,86908.95384,2,24081520,0,2025-12-24T09:15:47.000Z,NORMAL,5769.35
86908.95147,86908.95147,86908.95147,1,24081519,,2025-12-24T09:15:35.000Z,NORMAL,1018.56
86915.13654,86921.09552,86909.17756,2,24081518,8.427271089,2025-12-24T09:15:23.000Z,NORMAL,4335.09
86909.28855,86909.72294,86908.85416,2,24081517,0.614325345,2025-12-24T09:15:11.000Z,NORMAL,6512.85
86909.61136,86909.61136,86909.61136,1,24081516,,2025-12-24T09:14:59.000Z,NORMAL,236.5
86896.55564,86909.23492,86883.87636,2,24081515,17.9312127,2025-12-24T09:14:47.000Z,NORMAL,3477.5
86910.13143,86910.13143,86910.13143,1,24081502,,2025-12-24T09:12:11.000Z,NORMAL,35.79
86909.02094,86909.02094,86909.02094,1,24081500,,2025-12-24T09:11:47.000Z,NORMAL,18686.86
86801.75246,86801.75246,86801.75246,1,24081495,,2025-12-24T09:10:47.000Z,NORMAL,6.35
86901.79611,86909.03404,86896.27201,3,24081492,6.551356564,2025-12-24T09:10:11.000Z,NORMAL,23140.76
86909.55445,86910.11824,86908.99067,2,24081490,0.797310505,2025-12-24T09:09:47.000Z,NORMAL,25021.1
86908.97661,86908.97661,86908.97661,1,24081484,,2025-12-24T09:08:35.000Z,NORMAL,26821.95
86849.8528,86849.8528,86849.8528,2,24081483,0,2025-12-24T09:08:23.000Z,NORMAL,14.17
86914.35642,86914.35642,86914.35642,1,24081480,,2025-12-24T09:07:47.000Z,NORMAL,104.09
86909.2848,86909.2848,86909.2848,1,24081474,,2025-12-24T09:06:35.000Z,NORMAL,1298.89
86909.00356,86909.00356,86909.00356,1,24081473,,2025-12-24T09:06:23.000Z,NORMAL,45037.03
86907.21392,86907.21392,86907.21392,1,24081472,,2025-12-24T09:06:11.000Z,NORMAL,417.17
86908.96573,86908.96573,86908.96573,1,24081471,,2025-12-24T09:05:59.000Z,NORMAL,23987.9
86908.93511,86909.61737,86908.25285,2,24081470,0.964861542,2025-12-24T09:05:47.000Z,NORMAL,1647.68
86911.2204,86920.88005,86906.71846,5,24081469,5.936577848,2025-12-24T09:05:35.000Z,NORMAL,10789.9
86994.48801,87037.03704,86909.38995,3,24081468,73.69707882,2025-12-24T09:05:23.000Z,NORMAL,104.26
86902.923,86902.923,86902.923,1,24081467,,2025-12-24T09:05:11.000Z,NORMAL,117.14
86905.90165,86909.01276,86904.3086,5,24081466,1.920769896,2025-12-24T09:04:59.000Z,NORMAL,13060.42
86900.78895,86906.34098,86898.01294,3,24081465,4.808192848,2025-12-24T09:04:47.000Z,NORMAL,222.51
86908.62709,86908.62709,86908.62709,2,24081464,0,2025-12-24T09:04:35.000Z,NORMAL,120
86909.75342,86909.75342,86909.75342,2,24081463,0,2025-12-24T09:04:23.000Z,NORMAL,1391.64
86915.51067,86922.08692,86908.88596,4,24081460,7.593700854,2025-12-24T09:03:47.000Z,NORMAL,9687.63
86877.82805,86877.82805,86877.82805,1,24081458,,2025-12-24T09:03:23.000Z,NORMAL,9.58
86908.15533,86908.15533,86908.15533,1,24081455,,2025-12-24T09:02:47.000Z,NORMAL,937.78
86899.26829,86909.99881,86893.90302,3,24081453,9.292906697,2025-12-24T09:02:23.000Z,NORMAL,737.2
92592.59259,92592.59259,92592.59259,1,24081451,,2025-12-24T09:01:59.000Z,NORMAL,0.1
86903.48852,86903.48852,86903.48852,1,24081450,,2025-12-24T09:01:47.000Z,NORMAL,92.69
86909.10096,86909.20359,86908.99833,2,24081449,0.145143604,2025-12-24T09:01:35.000Z,NORMAL,38481.43
86908.15695,86908.15695,86908.15695,1,24081448,,2025-12-24T09:01:23.000Z,NORMAL,403.12
86909.00766,86909.00766,86909.00766,1,24081444,,2025-12-24T09:00:35.000Z,NORMAL,79296.97
86909.1492,86909.1492,86909.1492,1,24081442,,2025-12-24T09:00:11.000Z,NORMAL,2130.47
86902.50791,86902.50791,86902.50791,1,24081441,,2025-12-24T08:59:59.000Z,NORMAL,1395.98
86901.80844,86901.80844,86901.80844,1,24081440,,2025-12-24T08:59:47.000Z,NORMAL,3920.33
86901.97822,86902.00333,86901.95311,2,24081439,0.035507146,2025-12-24T08:59:35.000Z,NORMAL,45179.91
86902.01522,86902.0345,86901.99594,2,24081438,0.027238917,2025-12-24T08:59:23.000Z,NORMAL,48092.85
86901.32147,86901.32147,86901.32147,1,24081436,,2025-12-24T08:58:59.000Z,NORMAL,1159.28
86902.0231,86902.0231,86902.0231,1,24081435,,2025-12-24T08:58:47.000Z,NORMAL,14647.25
86902.01292,86902.01292,86902.01292,1,24081431,,2025-12-24T08:57:59.000Z,NORMAL,17932.44
86902.01877,86902.01877,86902.01877,1,24081430,,2025-12-24T08:57:47.000Z,NORMAL,8512.27
