Block number,Block timestamp,Btc spot price usd,Tx hash,Platform,Symbol in,Symbol out
24081533,18:23.0,86906.80389,0x721ab315a3b21dad9e61f072bbd8d8652c9abdcc4f8ead0448ab4cf95036c328,uniswap-v3,WETH,WBTC
24081533,18:23.0,86906.80389,0x721ab315a3b21dad9e61f072bbd8d8652c9abdcc4f8ead0448ab4cf95036c328,uniswap-v3,WBTC,BBTC
24081520,15:47.0,86908.95384,0x56451cafd32bc1ccb6738d0c4cd7a806f1c2d29678521a38429264dc9a5ebd2e,uniswap-v3,WBTC,WETH
24081520,15:47.0,86908.95384,0x56451cafd32bc1ccb6738d0c4cd7a806f1c2d29678521a38429264dc9a5ebd2e,uniswap-v3,USDC,WBTC
24081519,15:35.0,86908.95147,0x9d716595fc0f24ddbc32ef1f4c5ff3283cf37eda141354a2476ef013a58a8f0c,uniswap-v3,USDC,WBTC
24081518,15:23.0,86921.09552,0x30162cab2242641712b426290b6bebc82c1de9438acfb6f51b616f7f665f9d9d,uniswap-v3,USDT,WBTC
24081518,15:23.0,86909.17756,0x02e7a94a6345ffab84d9ed10ce84a7a42bd91050f230807c1f9c8a27f14e28a9,uniswap-v3,USDT,WBTC
24081517,15:11.0,86908.85416,0xde63d8804c4066f56dc054cf0e189f22b43f0ad510ad1f4760f6b50307852fd7,uniswap-v3,USDT,WBTC
24081517,15:11.0,86909.72294,0x8c92656436260054b10a6c28f0aaa3cc1dba55c7f53b4fafb285e4f799dd70db,uniswap-v3,USDC,WBTC
24081516,14:59.0,86909.61136,0xc2841b28c55847bb4f2e710de2025afa96c1b205902348e41573f56fde524fa9,uniswap-v3,USDT,WBTC
24081515,14:47.0,86909.23492,0x90b9003dec8184bce76f91918a242e39031bd87e26bfa302668f22dbc150275a,uniswap-v3,USDT,WBTC
24081515,14:47.0,86883.87636,0x635e1bfcafa8f4749bb2acb64827254c208fe839cd5a36b795952861869f9fbb,uniswap-v3,WETH,WBTC
24081502,12:11.0,86910.13143,0x9eef92e708b53e9578ea8e9479da440feda9ee7ad5f6433ecedec818428e2f80,uniswap-v3,USDT,WBTC
24081500,11:47.0,86909.02094,0xcf956516bd6a52dcaecfa690ea5b6211ec66ffe26cabffef8fc89a8e84b4ac37,uniswap-v3,WBTC,WETH
24081495,10:47.0,86801.75246,0xb6c2bfd2afb3d66850522dee09e8104c3ea5afdeb83cfbc700d1c2b9223561e0,uniswap-v3,WETH,WBTC
24081492,10:11.0,86900.08227,0x6eff978020d18780e5609091c5e29326637c3eabd00c8ebeceb1c699fe097f57,uniswap-v3,WBTC,BBTC
24081492,10:11.0,86909.03404,0x4034422f1c2a348d2c1fa4d5cf2cd52cb5a0607669cdd640a3d6eb0bba8c8859,uniswap-v3,WBTC,WETH
24081492,10:11.0,86896.27201,0x00016beaffa4421bb5d69b1ffc98db139b1936b5e3d68098c08d9ba9dab25a1e,uniswap-v3,WBTC,WETH
24081490,09:47.0,86910.11824,0xe0268c58a552df99f1a56d4b92a067422d9ce56e7c7e9fe7fd98b509a9cf782e,uniswap-v3,WBTC,BBTC
24081490,09:47.0,86908.99067,0xaf330131d86f4ae964ce682bf67406d80517c8bb3efea58963b69b8a2000f8ef,uniswap-v3,WBTC,WETH
24081484,08:35.0,86908.97661,0xd5d8bff0027e47a44c595d66e4d2b9d5c6580402b83de2d99b7f7005e13a84ff,uniswap-v3,WBTC,WETH
24081483,08:23.0,86849.8528,0x249883aa38ddfdc5f2909182ee436085297b83535504d7d79db079137c342878,uniswap-v3,WBTC,cbBTC
24081483,08:23.0,86849.8528,0x249883aa38ddfdc5f2909182ee436085297b83535504d7d79db079137c342878,uniswap-v3,WETH,WBTC
24081480,07:47.0,86914.35642,0xf73b741bcb4383c206f594e6ba4d9c275accf552caad0fca3742ba424ba97069,uniswap-v3,WBTC,BBTC
24081474,06:35.0,86909.2848,0x8c8972c37b7dd9b6054cf35db9151080afb6044726c3db2282aa368c0939efff,uniswap-v3,USDT,WBTC
24081473,06:23.0,86909.00356,0x11f6c04d9811e9565be8e49f82ff1d2d4b576deb48f58b0866f748726fc5e54d,uniswap-v3,WBTC,WETH
24081472,06:11.0,86907.21392,0x04b36f35b4f4a37ca3cfcca285d26b6e4e4cdb44de0f9b3609db7845c3d0d9df,uniswap-v3,tBTC,WBTC
24081471,05:59.0,86908.96573,0x80e9415bf77d646c7aa96aa3a045ac3c82d051337e9d27193132a0adba3d6d6e,uniswap-v3,WBTC,tBTC
24081470,05:47.0,86909.61737,0xe6cdab4cc13c16aa4bdb2ecc37e6c58728ecf6ed8ec4cb24dc22537282014f65,uniswap-v3,USDT,WBTC
24081470,05:47.0,86908.25285,0xe6cdab4cc13c16aa4bdb2ecc37e6c58728ecf6ed8ec4cb24dc22537282014f65,uniswap-v3,USDC,WBTC
24081469,05:35.0,86920.88005,0x6b87757c69ba525ca0530eeb08e491da2e77835962b83a4202e2d5f26eefc549,uniswap-v3,WETH,WBTC
24081469,05:35.0,86906.71846,0x81d348b51c7fdf75e919aca7e0f2af0d28bcd4ac051a7cdf60a83179bc5e78ab,uniswap-v3,WBTC,USDC
24081469,05:35.0,86906.71846,0x81d348b51c7fdf75e919aca7e0f2af0d28bcd4ac051a7cdf60a83179bc5e78ab,uniswap-v3,WETH,WBTC
24081469,05:35.0,86912.75168,0x4ee9a7dff9b7b37ea455271b8675f84bda91c9a56b7ce5ee9e75aa6e5ceb678d,uniswap-v3,WBTC,WETH
24081469,05:35.0,86909.03333,0xf90dcde0b8d7d3acdbc4795002e13410c5c98485e8382bb4482cf814abbc8bdc,uniswap-v3,WBTC,WETH
24081468,05:23.0,86909.38995,0xb2400eac760d9cf883aa2bc1f62e9de247e80b302d9fbac5a3f2fd0c83609ee7,uniswap-v3,WBTC,WETH
24081468,05:23.0,87037.03704,0x78ad77e3b008099606fc43d0a7c3e026195988a098d990f7ae31e890ef43fe98,uniswap-v3,USDT,WBTC
24081468,05:23.0,87037.03704,0x78ad77e3b008099606fc43d0a7c3e026195988a098d990f7ae31e890ef43fe98,uniswap-v3,WBTC,WETH
24081467,05:11.0,86902.923,0xf8297e38bd1a79b1b5bcaa48b4d55e4647e4e2766d03a829608abe36da9268d9,uniswap-v3,WBTC,WETH
24081466,04:59.0,86904.3086,0xd70d171887a889294e60215b59f01f42d25cdde5676b7e8849e99385cc162cd1,uniswap-v3,WETH,WBTC
24081466,04:59.0,86909.01276,0xe12ea2e3c73dba294b21db0f5df693e60df99c1cf922db31f1a3848616f6f361,uniswap-v3,WBTC,WETH
24081466,04:59.0,86905.93915,0xd907bf59f7cc0259be05fabd1ce7ce568ab087cec499b5579dfe2c33afed0df7,uniswap-v3,WETH,WBTC
24081466,04:59.0,86905.93915,0xd907bf59f7cc0259be05fabd1ce7ce568ab087cec499b5579dfe2c33afed0df7,uniswap-v3,WBTC,tBTC
24081466,04:59.0,86904.3086,0xd70d171887a889294e60215b59f01f42d25cdde5676b7e8849e99385cc162cd1,uniswap-v3,WBTC,tBTC
24081465,04:47.0,86906.34098,0x65293b536def57f2ddf6e3fcb30368d81b4569decb3a29fdfb06ac7d6ca5c51b,uniswap-v3,WBTC,WETH
24081465,04:47.0,86898.01294,0xad0da0449fd2787d936154e9eb4122a1386b2c7623105bec3d73cd8dd1b693ec,uniswap-v3,WBTC,tBTC
24081465,04:47.0,86898.01294,0xad0da0449fd2787d936154e9eb4122a1386b2c7623105bec3d73cd8dd1b693ec,uniswap-v3,WETH,WBTC
24081464,04:35.0,86908.62709,0x914da21dbf0f20cbe3b643233aff7ee614a5bccdd12ce0c6785dcad3685682cc,uniswap-v3,WBTC,tBTC
24081464,04:35.0,86908.62709,0x914da21dbf0f20cbe3b643233aff7ee614a5bccdd12ce0c6785dcad3685682cc,uniswap-v3,WETH,WBTC
24081463,04:23.0,86909.75342,0xc4b5f14cdc596a05ab84042ba40e12e7cbcac34470287b0fe3416d9eebe824f0,uniswap-v3,WBTC,USDC
